Core_id,Ranking,University,Country,City,Region,Score,logo
1173,801-1000,King Faisal University,Saudi Arabia,Hofuf,Asia,,https://www.topuniversities.com/sites/default/files/king-faisal-university_592560cf2aeae70239af4f18_small.jpg
1191,801-1000,King Mongkut's University of Technology Thonburi ,Thailand,Bangkok,Asia,,https://www.topuniversities.com/sites/default/files/king-mongkuts-university-of-technology-thonburi-_592560cf2aeae70239af4f2a_small.jpg
25364,801-1000,Kyrgyz-Turkish Manas University,Kyrgyzstan,Bishkek,Asia,,https://www.topuniversities.com/sites/default/files/220106031025am829503Manas-University-logo-48x48.jpg
1638,801-1000,Liverpool John Moores University,United Kingdom,Liverpool ,Europe,,https://www.topuniversities.com/sites/default/files/liverpool-john-moores-university_592560cf2aeae70239af50e9_small.jpg
25661,801-1000,Lodz University of Technology,Poland,Lodz,Europe,,https://www.topuniversities.com/sites/default/files/lodz-university-of-technology_592560e59988f300e2321bdd_small.jpg
358,801-1000,London Metropolitan University,United Kingdom,London,Europe,,https://www.topuniversities.com/sites/default/files/london-metropolitan-university_358_small.jpg
1630,801-1000,London South Bank University,United Kingdom,London,Europe,,https://www.topuniversities.com/sites/default/files/london-south-bank-university_592560cf2aeae70239af50e3_small.jpg
369,801-1000,Louisiana State University,United States,Baton Rouge,North America,,https://www.topuniversities.com/sites/default/files/211217042229pm466378LSU-Logo-48x48.jpg
370,801-1000,Loyola University Chicago,United States,Chicago,North America,,https://www.topuniversities.com/sites/default/files/loyola-university-chicago_370_small.jpg
19812,801-1000,Lviv Polytechnic National University,Ukraine,Lviv,Europe,,https://www.topuniversities.com/sites/default/files/lviv-polytechnic-national-university_592560cf2aeae70239af590f_small.jpg
1628,801-1000,Manchester Metropolitan University,United Kingdom,Manchester ,Europe,,https://www.topuniversities.com/sites/default/files/manchester-metropolitan-university_1628_small.jpg
766,801-1000,Maynooth University,Ireland,Maynooth,Europe,,https://www.topuniversities.com/sites/default/files/maynooth-university_766_small.jpg
25669,801-1000,Mendel University in Brno,Czechia,Brno,Europe,,https://www.topuniversities.com/sites/default/files/mendel-university-in-brno_592560e59988f300e2321bf0_small.jpg
2151,801-1000,NJSC KIMEP University,Kazakhstan,Almaty,Asia,,https://www.topuniversities.com/sites/default/files/kimep-university_592560cf2aeae70239af52ea_small.jpg
881,801-1000,Nanjing Agricultural University,China (Mainland),Nanjing,Asia,,https://www.topuniversities.com/sites/default/files/nanjing-agricultural-university_881_small.jpg
880,801-1000,Nanjing University of Aeronautics and Astronautics,China (Mainland),Nanjing,Asia,,https://www.topuniversities.com/sites/default/files/nanjing-university-of-aeronautics-and-astronautics_592560cf2aeae70239af4df3_small.jpg
1189,801-1000,National Chung Cheng University,Taiwan,Minxiong Township,Asia,,https://www.topuniversities.com/sites/default/files/national-chung-cheng-university_592560cf2aeae70239af4f28_small.jpg
22808,801-1000,"National Institute of Technology, Tiruchirappalli",India,Tiruchirappalli,Asia,,https://www.topuniversities.com/sites/default/files/national-institute-of-technology-tiruchirappalli_592560e19988f300e2320ebf_small.jpg
1463,801-1000,Nicolaus Copernicus University ,Poland,Toruń,Europe,,https://www.topuniversities.com/sites/default/files/nicolaus-copernicus-university-_592560cf2aeae70239af503a_small.jpg
24145,801-1000,Northern Borders University,Saudi Arabia,Arar,Asia,,https://www.topuniversities.com/sites/default/files/northern-border-university_592560e39988f300e2321469_small.jpg
883,801-1000,Northwest Agriculture and Forestry University,China (Mainland),Yangling,Asia,,https://www.topuniversities.com/sites/default/files/northwest-agriculture-and-forestry-university_592560cf2aeae70239af4df6_small.jpg
2067,801-1000,Northwest University (China),China (Mainland),Xi'an,Asia,,https://www.topuniversities.com/sites/default/files/northwest-university-china_592560cf2aeae70239af5297_small.jpg
36639,801-1000,Notre Dame University-Louaize NDU,Lebanon,Koura,Asia,,https://www.topuniversities.com/sites/default/files/notre-dame-university-louaize-ndu_5af915a3cb4de7546e1a835d_small.jpg
1634,801-1000,Nottingham Trent University,United Kingdom,Nottingham,Europe,,https://www.topuniversities.com/sites/default/files/nottingham-trent-university_592560cf2aeae70239af50e6_small.jpg
21639,801-1000,Novosibirsk State Technical University,Russia,Novosibirsk,Europe,,https://www.topuniversities.com/sites/default/files/novosibirsk-state-technical-university_592560cf2aeae70239af5966_small.jpg
2241,801-1000,Oklahoma State University ,United States,Stillwater,North America,,https://www.topuniversities.com/sites/default/files/oklahoma-state-university-_592560cf2aeae70239af5345_small.jpg
1501,801-1000,Perm State National Research University,Russia,Perm,Europe,,https://www.topuniversities.com/sites/default/files/perm-state-national-research-university_592560cf2aeae70239af5060_small.jpg
